1200.000000,0,-2
1200.000000,1,-2
1200.000000,2,1
1200.000000,3,0
1200.000000,4,1
1200.000000,5,2
1200.000000,6,4
1200.000000,7,3
1200.000000,8,4
1200.000000,9,5
1200.000000,10,6
1200.000000,11,8
1200.000000,12,7
1200.000000,13,8
1800.000000,0,-2
1800.000000,1,-2
1800.000000,2,0
1800.000000,3,0
1800.000000,4,1
1800.000000,5,2
1800.000000,6,4
1800.000000,7,3
1800.000000,8,4
1800.000000,9,5
1800.000000,10,6
1800.000000,11,8
1800.000000,12,7
1800.000000,13,8
2400.000000,0,-2
2400.000000,1,-2
2400.000000,2,1
2400.000000,3,0
2400.000000,4,1
2400.000000,5,2
2400.000000,6,4
2400.000000,7,3
2400.000000,8,4
2400.000000,9,5
2400.000000,10,6
2400.000000,11,8
2400.000000,12,7
2400.000000,13,8
3000.000000,0,-2
3000.000000,1,-2
3000.000000,2,0
3000.000000,3,0
3000.000000,4,1
3000.000000,5,2
3000.000000,6,4
3000.000000,7,3
3000.000000,8,4
3000.000000,9,5
3000.000000,10,6
3000.000000,11,8
3000.000000,12,7
3000.000000,13,8
3600.000000,0,-2
3600.000000,1,-2
3600.000000,2,1
3600.000000,3,0
3600.000000,4,1
3600.000000,5,2
3600.000000,6,4
3600.000000,7,3
3600.000000,8,4
3600.000000,9,5
3600.000000,10,6
3600.000000,11,8
3600.000000,12,7
3600.000000,13,8
4200.000000,0,-2
4200.000000,1,-2
4200.000000,2,0
4200.000000,3,0
4200.000000,4,1
4200.000000,5,2
4200.000000,6,4
4200.000000,7,3
4200.000000,8,4
4200.000000,9,5
4200.000000,10,6
4200.000000,11,8
4200.000000,12,7
4200.000000,13,8
4800.000000,0,-2
4800.000000,1,-2
4800.000000,2,1
4800.000000,3,0
4800.000000,4,1
4800.000000,5,2
4800.000000,6,4
4800.000000,7,3
4800.000000,8,4
4800.000000,9,5
4800.000000,10,6
4800.000000,11,8
4800.000000,12,7
4800.000000,13,8
5400.000000,0,-2
5400.000000,1,-2
5400.000000,2,0
5400.000000,3,0
5400.000000,4,1
5400.000000,5,2
5400.000000,6,4
5400.000000,7,3
5400.000000,8,4
5400.000000,9,5
